#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,location,room
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:25:43.131816651Z,1277,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:31:07.852349267Z,1555,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:36:33.204656499Z,1743,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:41:57.917816543Z,1975,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:47:26.07349553Z,2145,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:52:54.632969786Z,2369,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T08:58:23.190852863Z,2567,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:03:52.640177762Z,2774,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:09:21.907948845Z,2994,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:14:50.377199999Z,3135,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:20:18.933953044Z,3284,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:25:47.570706019Z,3532,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:31:15.966230686Z,3679,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:36:44.443847419Z,3917,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:42:12.768039005Z,4061,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:47:41.250183742Z,4201,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:53:09.574382735Z,4165,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T09:58:37.89442585Z,3440,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:04:06.632736194Z,3043,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:09:34.933131741Z,3187,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:15:03.493310587Z,3304,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:20:31.738946165Z,3477,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:26:00.062833275Z,3689,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:31:28.554614549Z,3864,CO2,monitor_task,ESP32-5,urbino,Turing
,,0,2023-11-30T03:00:00Z,2023-11-30T14:00:00Z,2023-11-30T10:36:56.865835275Z,3962,CO2,monitor_task,ESP32-5,urbino,Turing
